Source,Document,URL,Text,Date
Australia AUSTRAC,Remittance service providers,,"A remittance service provider is an individual, business or organisation that accepts instructions from customers to transfer money or property to a recipient. Remittance service providers are also known as ‘money transfer businesses’.  Video: Guidance for remittance service providers ",15-Apr-21
Australia AUSTRAC,AUSTRAC Contact Centre,,"AUSTRAC is Australia’s financial intelligence unit and its anti-money laundering and counter-terrorism financing regulator.  What we can and can’t help you with  Before you take the time to contact us, here’s what we can and can’t assist you with.  We can help with:  questions about your anti-money laundering/counter-terrorism financing obligations questions about AUSTRAC.  We can’t help you with:  tax enquiries – contact the Australian Taxation Office (ATO) complaints about financial service providers making sure financial services providers meet their other legal obligations complaints about scams. If you believe you have been scammed, contact Scamwatch or your local police. For online or email scams, contact the Australian Cybercrime Online Reporting Network. Contact details  Phone: 1300 021 037 (local call cost within Australia)  Submit your query online  You can find and submit the form here.  Hours of operation  Monday to Friday 8:30am to 5:00pm Australian Eastern Daylight Time (or AEDT) excluding national public holidays.  Deliveries and direct enquiries  If you have a delivery or need to speak with someone specific at AUSTRAC, please call the person directly. ",18-May-21
Australia AUSTRAC,Lists of enforcement actions taken,,AUSTRAC can take enforcement action against reporting entities who don’t comply with AML/CTF legislation. These enforcement actions are:  civil penalty orders enforceable undertakings infringement notices remedial directions.  AUSTRAC publishes information about its enforcement actions. We do this so we remain transparent and accountable and to provide information about our enforcement actions to all reporting entities.  You can find out more about the consequences of not complying. ,19-May-21
Australia AUSTRAC,Suspicious transactions identified by your transaction monitoring systems,,"You must make sure your transaction monitoring systems alert you to unusual, large or complex transactions or patterns of transactions.  What defines a transaction as large or unusual will depend on the size of your business or organisation and the services you offer. It also depends on the types of customers and transaction activities you normally deal with.  Indicators of criminal activity  There are many customer transactions that may indicate your business or organisation is being exploited for money laundering, terrorism financing or other serious crime.  Examples of these indicators include:  gambling proceeds being deposited into foreign bank accounts buying casino chips and cashing them out with no gaming activity associations having multiple accounts under multiple names transactions that don’t match the customer profile high volumes of transactions being made in a short period of time depositing large amounts of cash into company accounts depositing multiple cheques into one bank account purchasing expensive assets, such as property, cars, precious stones and metals, jewellery and bullion using third parties to make wire transfers using an accountant or lawyer to make transactions using cash to buy large amounts of gold regularly selling large amounts of jewellery, gold or precious metals storing large amounts of cash in a safety deposit box cashing bank drafts for foreign currency exchanging large amounts of currency for traveller’s cheques withdrawing large amounts of cash making multiple transactions on the same day from different locations using false or stolen identities to open bank accounts repaying loan balances early or in cash describing frequent transfers of funds as loans from relatives moving funds through different accounts closing insurance policies and requesting payment to a third party sending investment funds to high-risk countries reducing (structuring) the amount of cash deposits or withdrawals to avoid triggering transaction reporting rules.  Read our case studies for more examples of indicators of criminal activity that businesses have recognised and reported to AUSTRAC.  If you are suspicious about a transaction  If your monitoring program identifies suspicious customer transactions or behaviour, you must apply your enhanced customer due diligence and submit a suspicious matter report (SMR) to AUSTRAC.  Identifying a higher ML/TF risk does not necessarily mean that a customer relationship must be terminated, but if you decide to terminate a customer relationship, continue to apply ECDD and OCDD until the termination takes effect. You can consider placing restrictions on the account to prevent further transactions.  You should continue to monitor for new accounts that could be related to the closed accounts. ",29-Mar-21
Australia AUSTRAC,AUSTRAC Insights: Governance,, ,21-Apr-21
Australia AUSTRAC,Copyright,,"© AUSTRAC for the Commonwealth of Australia  Copyright in all material produced by AUSTRAC is owned by the Commonwealth of Australia. This material is provided under a Creative Commons licence, except for the following:  the AUSTRAC logo the Commonwealth Coat of Arms content provided by third parties. Attribution  If you use material from this website you must attribute copyright to AUSTRAC. You should do this by using ‘© AUSTRAC for the Commonwealth of Australia 2019’.  As long as you attribute copyright to AUSTRAC, you are free to copy, adapt, modify, transmit and distribute AUSTRAC-produced material as you wish. Further, if you use AUSTRAC-produced material, you must ensure that you do not use it in any way that suggests AUSTRAC or the Australian Government endorses you or any of your services or products.  Using the Commonwealth Coat of Arms  Guidelines for use of the Coat of Arms are published by the Department of Prime Minister and Cabinet.  Third party copyright  Where a third party holds copyright in material on this website you may need their permission to use it.  AUSTRAC has made all reasonable efforts to:  clearly label material where a third party owns copyright get consent from the copyright owner to use their material on this website. ",07-Apr-21
Australia AUSTRAC,Australia's superannuation sector: money laundering and terrorism financing risk assessment 2016,, ,10-May-21
Australia AUSTRAC,Suspicious matter reporting: checklist,, ,28-Apr-21
Australia AUSTRAC,Governance: board and senior management oversight,, ,30-Mar-21
BIS Working Papers,Global safe assets,https://www.bis.org/publ/work399.pdf,,18-Dec-12
BIS Working Papers,Crises and rescues: liquidity transmission through international banks,https://www.bis.org/publ/work576.pdf,,26-Aug-16
