,Source,Document,URL,Text,Date
10,Australia AUSTRAC,Money laundering/terrorism financing risk assessments,, ,30 March 2021
11,Australia AUSTRAC,Consultation now open on Rules for AML/CTF reforms,,"Reforms have been made to strengthen Australia’s anti-money laundering and counter-terrorism financing laws.  The reforms, known as Phase 1.5, will increase the resilience of our financial system against criminal threats, while making it easier for businesses to understand and comply with their obligations.  A summary of the changes for AUSTRAC reporting entities is included below.  Implementing the changes  There will be a transition period for businesses to implement the reforms, and we will provide guidance during this time to support you.  Draft Rules for review and consultation  The draft Rules to support the implementation of the Phase 1.5 reforms are now available for review and consultation.  Read the draft Rules and submit your feedback  Summary of changes for reporting entities Customer due diligence  These reforms make it clear that customers must be identified before providing a designated service, except for very limited circumstances. They also expand the circumstances where you can rely on customer identification by another reporting entity.  Tipping off  There will be expanded exceptions to tipping-off provisions that allow information from suspicious matter reports (SMRs) to be shared with an external auditor, or offshore members of the same corporate or designated business group that are regulated by laws that give effect to some or all of the FATF recommendations .  Correspondent banking  These changes affect financial institutions. The reforms include clearer prohibitions against entering into a relationship with a bank that allows its accounts to be used by a shell bank, in addition to clearer and strengthened due diligence and risk assessment requirements during a correspondent banking relationship.  Additional measures  In addition to these changes, the Phase 1.5 reforms support cooperation and collaboration to detect, deter and disrupt money laundering, terrorism financing, and other serious crimes, and increase the AUSTRAC CEO’s ability to provide access to AUSTRAC information to law enforcement partners. ",27 January 2021
12,Australia AUSTRAC,Typologies and case studies report 2012,, ,7 April 2021
13,Australia AUSTRAC,Copyright,,"© AUSTRAC for the Commonwealth of Australia  Copyright in all material produced by AUSTRAC is owned by the Commonwealth of Australia. This material is provided under a Creative Commons licence, except for the following:  the AUSTRAC logo the Commonwealth Coat of Arms content provided by third parties. Attribution  If you use material from this website you must attribute copyright to AUSTRAC. You should do this by using ‘© AUSTRAC for the Commonwealth of Australia 2019’.  As long as you attribute copyright to AUSTRAC, you are free to copy, adapt, modify, transmit and distribute AUSTRAC-produced material as you wish. Further, if you use AUSTRAC-produced material, you must ensure that you do not use it in any way that suggests AUSTRAC or the Australian Government endorses you or any of your services or products.  Using the Commonwealth Coat of Arms  Guidelines for use of the Coat of Arms are published by the Department of Prime Minister and Cabinet.  Third party copyright  Where a third party holds copyright in material on this website you may need their permission to use it.  AUSTRAC has made all reasonable efforts to:  clearly label material where a third party owns copyright get consent from the copyright owner to use their material on this website. ",7 April 2021
14,Australia AUSTRAC,Coronavirus (COVID-19) – Working with our reporting entities,,"       Coronavirus update  The global pandemic, COVID-19, is impacting all Australians and Australian businesses. AUSTRAC acknowledges that this is an unprecedented and uncertain time for you and your business. As Australia’s Anti-Money Laundering and Counter-Terrorism Financing regulator and Financial Intelligence Unit, AUSTRAC regulates more than 15,000 individuals, businesses and organisations. You are the front line of defence in the fight against financial crime and terrorism financing. AUSTRAC will constructively work with you as you manage your money laundering and terrorism financing risks during this disruptive period. This includes considering your circumstances when applying the Anti-Money Laundering and Counter-Terrorism Financing laws. We are working across government to ensure AUSTRAC is prepared for all scenarios including a reduced workforce. We have a business continuity plan in place which will allow us to maintain our core functions and continue our work with you, to protect Australians from serious financial crime and terrorism. If you have questions about complying with your anti-money laundering and counter-terrorism obligations or concerns about COVID-19 and the impact on your business, please email us via our contact form.   ",7 April 2021
15,Australia AUSTRAC,Customer identification and due diligence overview,,"As a reporting entity, you must identify and know your customers.  Your customer identification procedures – Know your customer (KYC) procedures – must be documented in Part B of your AML/CTF program. All AML/CTF programs must include a Part B program.  To identify, mitigate and manage money laundering and terrorism financing (ML/TF) risk, you need ongoing customer due diligence processes. This includes developing and documenting an enhanced customer due diligence program and a transaction monitoring program in Part A of your AML/CTF program.  Holders of an Australian Financial Services Licence (AFSL) who arrange for their customers to receive a designated service, and do not provide any other designated services, do not have to have a Part A program.  Customer identification and ongoing customer due diligence processes will help you identify unusual transactions and behaviour, to identify and manage high-risk customers and report suspicious matters when appropriate.  Identifying and verifying customers: Part B of your AML/CTF program  Part B of your written AML/CTF program must document in detail the procedures you use to identify your customers and verify that their information is correct. After using these ‘applicable customer identification procedures’ you must be reasonably satisfied that:  an individual customer is who they claim to be a customer who is not an individual (such as a company, association or trust) is a real entity and you know the details of its beneficial owners. Applicable customer identification procedures  Applicable customer identification procedures (ACIP) include:  collecting and verifying customer identification information through know your customer procedures identifying and verifying the beneficial owner(s) of a customer identifying whether a customer or beneficial owner of a customer is a politically exposed person (PEP) getting information on the purpose and intended nature of the business relationship.  Your ACIP must consider, among other things:  the nature, size and complexity of your business the purpose of your business relationship with your customers the type of ML/TF risk you might reasonably face customer types (including beneficial owners and politically exposed persons) customers’ sources of funds and wealth control structures of non-individual customers types of designated services provided how you deliver these services the foreign jurisdictions you deal with.  If there is a higher risk associated with a customer, you will need to collect and verify more information to ensure you are reasonably satisfied that your customers are who they claim to be and that you are effectively managing your ML/TF risk.  Your systems and controls must:  consider the ML/TF risks identified include procedures to collect and verify information relating to a customer's agent.  Your staff and, if applicable, your agents, must understand your ACIP and you must monitor and ensure compliance with these procedures.  In most cases, it is a requirement to carry out ACIP before providing a designated service, and the designated service must not be provided if a customer cannot first meet the ACIP requirements. Not carrying out your ACIP due to customers being unhappy or uncooperative puts your business and your community at greater risk and is a breach of your obligations.  Failure to correctly conduct ACIP on customers can significantly impact ongoing identification, mitigation and management of ML/TF risks and introduce risks across all aspects of AML/CTF compliance. ",12 April 2021
16,Australia AUSTRAC,Transaction monitoring,,"A transaction monitoring program helps your business to:  Identify, mitigate and manage money laundering and terrorism financing (ML/TF) risk Identify and report suspicious matters to AUSTRAC meet your ongoing customer due diligence (OCDD) and enhanced customer due diligence (ECDD) obligations.  You must document how you monitor customer transactions in Part A of your AML/CTF program. Your transaction monitoring program must be based on your risk assessment of your business or organisation and define the processes you follow to identify suspicious customer transactions, including:  unusually large transactions complex transactions unexpected patterns of transactions that don’t seem to have a legitimate purpose.  How you monitor transactions and develop your program depends on the size of your business or organisation and your level of ML/TF risk. Depending on the type, size and complexity of your business or organisation, your transaction monitoring program can be manual or automated. You should allocate appropriate resources and priority to analysing and actioning alerts raised by transaction monitoring.  Your transaction monitoring program  You must have an appropriate risk-based monitoring program in place to help your employees identify suspicious transactions and take steps to protect your business or organisation.  Your transaction monitoring program should:  define the processes you follow to identify suspicious customer transactions document appropriate risk-based systems and controls that capture all necessary sources of customer and transaction data or information set out systems and controls that trigger alerts for further review such as: size, frequency or patterns of transactions that may indicate unusual or suspicious activity, including suspected fraud or identity theft transactions that are sent to or received from a high-risk country or region payments that are sent to or received from a person or organisation on a sanctions list activities that may be inconsistent with a customer's risk profile or history increased monitoring of higher risk customers previously suspected of or investigated for potentially suspicious activity other unexpected account activity from a customer which may indicate money laundering or terrorism financing  implement processes to consistently review and manage the internal escalation and investigation of alerts prioritise alerts according to the level of risk document processes to consistently manage the reporting of potentially suspicious matters detail sufficient assurance processes to review the management of alerts continually monitor transactions at all levels, not just, for example by branch or venue level document processes with sufficient specificity to enable them to be consistently applied document and audit any automated transaction monitoring processes. How your processes work together  Your processes and information sources must work together to monitor the services you are providing to customers to identify, mitigate and manage ML/TF risks.  Transaction monitoring, reporting, ECDD, ACIP and other information all contribute to a better understanding of your customers. These processes and information sources must contribute to a single understanding of the customer and their risk profile, rather than operate or exist independently.  Transaction monitoring alerts must be considered against the customer’s history, including any information from law enforcement. You must ensure there is a central or fully accessible customer history for customer due diligence purposes.  For example, different teams in your business might hold information about a customer’s suspected connections to terrorism, transaction monitoring alerts, suspicious activity on the customer’s account and information from law enforcement about this customer.  Your systems and controls must be able to merge and combine this information in a timely manner, to provide a comprehensive view of the customer’s ML/TF risks.  Review and assurance of your transaction monitoring program  Your transaction monitoring must be applied to all designated services at all times. It must be supported by appropriate accountability and review mechanisms, to confirm that:  processes are in place to make certain no disruptions to downstream AML/CTF processes occur when any changes are made to systems all systems changes that may potentially affect AML/CTF compliance require AML/CTF sign off all necessary assurance processes are in place and AML/CTF processes are fully documented and mapped.  Transaction monitoring must be periodically audited and reviewed to ensure it is operating as intended. Audits and reviews must confirm that transaction monitoring is based on complete data, and that transaction monitoring rules remain appropriate and current. Automated transaction monitoring systems and program alerts need to incorporate any new methodologies, typologies or crime types.  Resolving any system issues must also receive adequate resourcing and priority. This should also be addressed from the time the failure or breakdown was identified to cover all past transactions.  Any problems identified must be addressed promptly. Failure to monitor transactions can have serious flow-on effects to other AML/CTF processes such as SMR reporting, conducting ECDD and the ongoing identification of ML/TF risks. ",12 April 2021
17,Australia AUSTRAC,Remittance service providers,,"A remittance service provider is an individual, business or organisation that accepts instructions from customers to transfer money or property to a recipient. Remittance service providers are also known as ‘money transfer businesses’.  Video: Guidance for remittance service providers ",15 April 2021
18,Australia AUSTRAC,Preventing financial crime using a risk-based approach,,"Many requirements under the Anti-Money Laundering and Counter-Terrorism Financing Act 2006 (AML/CTF Act) and AML/CTF Rules are risk-based.  Adopting a risk-based approach is fundamental to meeting your obligations under the AML/CTF Act, and also protecting your business and the financial system from criminal abuse.  Under a risk-based approach, you identify and assess the money laundering and terrorism financing (ML/TF) risks your business faces and determine which ones are the greater and lesser threats to your business.  You can then apply your resources where they will have the biggest impact, to mitigate and manage the highest assessed ML/TF risks.  A risk-based approach recognises that ML/TF risks are not the same for every business, customer or transaction. It recognises that you are best placed to understand your particular ML/TF risks, taking into account your:  customer types (e.g. natural persons, companies etc.) products or services offered the geographical areas in which the business operates delivery channels ( e.g., over-the-counter, online).  For example, you would rely on your assessment of the risks when determining how to complete customer identification for a particular customer. Different procedures can be applied depending on the level of risk. When dealing with medium risk customers, services and situations, the level of customer due diligence and other risk mitigation would be lower than if you were dealing with high risk customers, services and situations.  Senior management oversight  Senior management must be made aware of, and understand, the ML/TF risks to your business, and decide whether the business is capable of mitigating and managing the identified risks effectively.  Documenting and maintaining your risk assessment is important to ensure that senior management and relevant employees understand the ML/TF risks.  Your senior management or board must approve and oversee the implementation of the risk-based systems and controls that are documented in your AML/CTF program. Decisions about entering or maintaining particular higher-risk business relationships, for example, must be escalated to senior management for consideration.  Why adopt a risk-based approach?  A risk-based approach is at the foundation of global best practice approaches to combating money laundering and terrorism financing.  A risk-based approach to mitigating and managing ML/TF risk means you can focus on the outcomes that the regulation is intended to achieve. That is, preventing money laundering, terrorism financing and other serious financial crimes, rather than complying with a checklist of requirements.  The benefits of this approach include:  more efficient and effective use of resources minimising compliance costs and burdens on customers greater flexibility to respond to new and emerging risks as money laundering and terrorism financing methods change. Applying a risk-based approach to your AML/CTF obligations  Where you identify ML/TF risks, you must develop and implement procedures to mitigate and manage them. A risk-based approach allows you to apply measures proportionate to the level of risk. This ensures that you can use your resources effectively.  Continually review and update your risk assessment  For a risk-based approach to work, you need to continually review and update your risk assessment. You must ensure you understand the risks your business faces, including identifying and addressing new and emerging risks. This assessment must also take into account guidance and other information provided or published by AUSTRAC and law enforcement agencies.  Systems and controls  Your approved systems and controls to mitigate and manage your identified ML/TF risks should also be adequately resourced.  Staff training and communication  It’s also important to communicate these risks to all relevant employees through appropriate documentation and AML/CTF risk awareness training. Document your risk assessment and procedures for mitigating and managing your identified ML/TF risks, including supporting evidence, and how you will monitor effectiveness.  Examples: Applying a risk-based approach effectively Example 1  FinanceCo has assessed that there is significantly higher risk when its customers use cash versus online transactions.  To mitigate and manage this risk, staff have been trained to ask a series of additional questions when processing cash transactions. FinanceCo has also implemented enhanced monitoring alerts to detect unusual activity associated with cash transactions.  Example 2  TransferIt Pty Ltd has updated its risk assessment and determines that transactions sent to a particular south-east Asian country are no longer a high risk.  They make changes to their systems and controls, proportional to the new level of risk, and document the reason for the change and the internal approval process. These changes involve TransferIt removing and adjusting existing monitoring alerts for customers that transact to the country.  Understanding ML/TF risks  ML/TF risks can be broadly understood on two levels:  at the whole-of-reporting entity level in relation to particular customers and business relationships.  The AML/CTF Act and Rules set out a range of measures required for reporting entities to identify, mitigate and manage their ML/TF risk across their businesses. See AUSTRAC’s guidance and insights on risk assessments  In line with your business’s risk assessment, you must apply a range of risk-based systems and controls when dealing with particular customers, including:  procedures to verify your customers’ identity and for ongoing due diligence understanding the nature and purpose of the business relationship with different customer types understanding the control structure of non-individual customers (i.e. underlying beneficial ownership information) understanding risks arising from changes in the nature of the business relationship, control structure, or beneficial ownership of your customers ongoing monitoring of transactions and business relationships with the assessed level of ML/TF risks.  See AUSTRAC’s guidance on customer identification and verification ",15 April 2021
19,Australia AUSTRAC,Media information,,"AUSTRAC is an Australian Government agency that helps detect and prevent money laundering, terrorism financing and other serious crime. We are both an intelligence agency and a regulator.  Read an overview of AUSTRAC’s role and work.  Contact the AUSTRAC media team  The first point of contact for media enquiries about AUSTRAC is the Media and Communications team. We operate during business hours and will try to respond to you as quickly as possible.  Email: media@austrac.gov.au: please include your contact details, the outlet you represent, details about your request and the deadline for your story. Phone: (02) 9950 0488 Follow us on Twitter Media releases and speeches  Search our recent media releases and speeches. Archived media releases can be found on the Trove website, maintained by the National Library of Australia.  Limits on information sharing  We do all we can to be open and transparent, however there are matters we can’t comment on. These include:  individual intelligence or operational matters whether an individual or reporting entity is the subject of any investigation by AUSTRAC or our partner agencies.  Unauthorised disclosure of official information may put law enforcement operations at risk.  AUSTRAC employees may be prevented from disclosing information by laws including:  part 11 of the AML/CTF Act which contains the secrecy provisions relating to AUSTRAC information section 70 of the Crimes Act 1914 which makes it an offence for a Commonwealth officer to publish or communicate any fact, or document which comes into their knowledge or possession, and which it is his or her duty not to disclose. Subscribe to media releases  To receive alerts when we publish new media releases, subscribe to RSS feed.  You need to use an RSS reader to subscribe to the RSS feed. ",13 April 2021
20,Australia AUSTRAC,Collaboration is key to combating trade-based money laundering,,"In simpler times, a business front would suffice to make illegally acquired money appear legitimate. A chain of laundromats did the job for Al Capone and is the origin of the term ‘money laundering’.  Over time, criminals have turned to increasingly sophisticated methods to disguise the origins of dirty money and integrate it into the mainstream economy.  In trade-based money laundering (TBML), criminals take advantage of the size and complexity of international trade to transfer money between parties and evade authorities.  Techniques include mismatching the value of the goods and payment (over- or under-pricing relative to market value, quantity or quality), issuing multiple invoices for a single shipment or sending no goods at all.  Money launderers may also seek to obscure their crime through constructing a network of highly complex trade processes that mingle legitimate with illicit funds and take advantage of governance gaps across jurisdictions.  TBML is big business. The profits of international organised crime have been estimated as 1.5% of global GDP, with more than half of these profits laundered through the global financial system.  Developing countries are particularly vulnerable, where value gaps in reported international trade have been estimated as USD 8.7 trillion over 2008-17, and USD 817.6 billion in 2017 alone. The human consequences are grave, including 40.3 million people forced into slavery worldwide, a quarter of whom are children.  For authorities and the trade financing industry, TBML can be difficult to detect amid the many processes, parties, transactions and jurisdictions. As with any disruption approach, anti-TBML efforts need to be constantly refined to keep up with new and emerging risks posed by criminals seeking to harm the community and profit from their crimes.  Acknowledging that no single body can tackle such challenges, AUSTRAC has been taking a collaborative approach.  We established the Fintel Alliance in 2017, the world’s first private-public partnership of its kind. Fintel Alliance’s 28 members include experts from financial industry, intelligence agencies, law enforcement, and academic and research institutions. Along with improved operational outcomes, members’ capability increases as partners learn from one another and synthesise knowledge.  Fintel Alliance has now formed a TBML working group that includes front line experts from industry and law enforcement to develop indicators and typologies that can be broadened to other jurisdictions and trade types.  The value of this interconnected approach is becoming clear. Better intelligence and information-sharing regarding child sexual exploitation resulted in a 643% increase in suspicious matter reports to AUSTRAC. This supported the detention or arrest of 73 persons and the protection or rescue of 35 victims in 2018-19.   To combat TBML, as with other serious and organised crimes, we need to continue to monitor and prepare for shifts in the risks that criminals may pose to the financial system and community. Timely and quality contributions from industry are crucial for success. As financial crime becomes more complex across the globe, collaboration is a critical foundation to overcome criminal exploitation of our interconnected trade, financial systems and global communities.  New report highlights latest TBML risks and challenges  A joint Financial Action Taskforce (FATF)-Egmont Group project on TBML recently concluded. AUSTRAC led Australia’s input into the project and there were substantial contributions from private and public Fintel Alliance members to the development of the project’s final report.  Read the report and learn more about the risks and challenges posed by TBML: Trade-based Money Laundering: Trends and Developments.   ",15 April 2021
21,Australia AUSTRAC,Are your applicable customer identification procedures up to date?,,"We recently updated the applicable customer identification procedures (ACIP) and ongoing customer due diligence resources, to help you strengthen these two important parts of your AML/CTF program.  Your ACIP and ongoing customer due diligence are critical to protecting your business and the community from serious and organised crime.  The updates include new guidance and example scenarios that will help you identify gaps in your customer identification, verification and ongoing customer due diligence processes.  Review your ACIP and ongoing customer due diligence processes:  Customer identification and due diligence overview Enhanced customer due diligence (ECDD) program Transaction monitoring Suspicious transactions. The importance of carrying out ACIP correctly and strong ongoing customer due diligence  An oversight at the account opening stage could allow criminals to take advantage of your business, hurting your reputation and the community over the longer term.  ACIP may involve many different processes depending on the type of customer – from identifying individuals, knowing who the beneficial owners are (if the customer is not an individual), whether the customer or any beneficial owners are politically exposed persons, and the purpose of their relationship with your business.  Ongoing customer due diligence plays a crucial role in identifying, mitigating and managing your risks and should be used to respond to threats posed to your business. Without strong ACIP or ongoing customer due diligence, your business and the community could be at greater risk of serious and organised crime. ",15 April 2021
22,Australia AUSTRAC,Money transferred to and from overseas: International funds transfer instruction (IFTI) reports,,"An international funds transfer instruction (IFTI) involves either:  an instruction that is accepted in Australia for money or property to be made available in another country, or an instruction that is accepted in another country for money or property to be made available in Australia.  If you send an IFTI out of Australia or receive an IFTI into Australia, you must submit an IFTI report to AUSTRAC within 10 business days. There are two types of IFTI reports:  IFTI-Es are made by financial institutions and apply to transfers of money IFTI-DRAs are made by businesses, organisations or individuals who are not financial institutions such as remittance service providers and casinos. They apply to transfers of money or property.   ",14 January 2021
23,Australia AUSTRAC,Enhanced customer due diligence (ECDD) program,,"Part A of your anti-money laundering and counter-terrorism financing (AML/CTF) program must include an enhanced customer due diligence (ECDD) program that documents the actions you take when the money laundering or terrorism financing risk is high.  You must monitor all customers with a view to identifying, mitigating and managing ML/TF risks. The due diligence measures that are appropriate for a particular customer may change over time as the ML/TF risk profile of the customer changes.  Enhanced customer due diligence involves carrying out extra checks on a customer’s identification, collecting additional information and doing additional verification.  Carrying out ECDD allows you to decide whether a suspicious matter should be reported. ECDD plays an important role in detecting, disrupting and preventing money laundering and terrorism financing. It also protects your business or organisation from being exploited for criminal activity.  Suspicious matter reports and ECDD  Submitting a suspicious matter report (SMR) does not manage the ongoing risk of a customer on its own, nor does it alter the fact that a customer is high risk. When a suspicion is formed (and an SMR submitted) about a customer, you also need to apply ECDD.  When to apply your ECDD  You must apply your ECDD in the following high-risk situations.  When you determine through your risk-based systems and controls the money laundering/terrorism risk is high. The service you are asked to provide is for a customer who is (or has a beneficial owner who is) a foreign politically exposed person (PEP). A customer’s suspicious activity or behaviour may lead to you making a suspicious matter report (SMR). A transaction involves a person or a company that has a presence or is incorporated in a prescribed foreign country. ",15 April 2021
24,Australia AUSTRAC,RegTechs,,"AUSTRAC recognises that RegTechs play an important role in assisting reporting entities to meet their AML/CTF obligations.  We support RegTechs by providing general guidance about AML/CTF regulation through the AUSTRAC RegTech Engagement (ARTE) program.  ARTE sessions  AUSTRAC RegTech Engagement (ARTE) sessions are designed to give RegTechs an opportunity to engage with AUSTRAC and are now available.  Sessions are one-on-one and run for 45 minutes. During these sessions, you can discuss and/or demonstrate your solution and ask questions to further your understanding of the AML/CTF legislation and requirements.  Due to the COVID-19 pandemic, upcoming sessions will be held via Microsoft Teams.  Please note, this is not an opportunity to market a product or gain endorsement from AUSTRAC, and any advice provided is general in nature.  To book an ARTE session, email REGTECH@austrac.gov.au for available appointments.  Additional resources  These fact sheets contain further information for RegTechs as well as for reporting entities considering engaging a RegTech business.  Expectations of RegTechs (PDF, 115KB) Guidance for engaging a RegTech (PDF, 115KB) ",16 April 2021
25,Australia AUSTRAC,AUSTRAC InBrief,,"InBrief is our new quarterly newsletter that includes important news and updates for industry, information about upcoming events and links to new guidance materials and resources.  Subscribe to join the mailing list or browse the latest issues.  Subscribe to InBrief  If you have any feedback or ideas for topics you would like us to consider for the next issue, please fill out our feedback form.  Latest issues  Issue 1 - December 2020 (PDF, 324KB) Issue 2 - March 2021 (PDF, 484KB) ",15 April 2021
26,Australia AUSTRAC,Get ready for compliance report 2020,,"Each year, most businesses that are regulated by AUSTRAC must complete an annual compliance report telling us about your compliance for the previous calendar year.  The report covers important areas of anti-money laundering and counter-terrorism financing (AML/CTF) and helps us to understand how you have been complying with your obligations, and where you may need additional support or guidance.  The 2020 compliance report will be open from 1 January to 31 March 2021. You must submit your 2020 compliance report by 31 March 2021 to avoid penalties. The COVID-19 relief applied to the 2019 compliance report will not apply this year.  Get ready  To make sure you’re set up to submit your report, log in to AUSTRAC Online and check your details are up to date including:  compliance officer details business address contact email or phone number designated services provided.  Note you can only submit a compliance report if you have administrator access in AUSTRAC Online.  Do I need to complete a report?  Most businesses need to complete a report, however there are some exemptions. You don’t need to submit a compliance report if your business is one of the following:  A gaming venue with a licence for 15 electronic gaming machines or less and you don’t provide any other designated services. An affiliate of a remittance network provider and you don’t provide any other designated services. An Australian Financial Services Licence (AFSL) holder where you arrange designated services for customers rather than providing designated services yourself.  For more information about the report check the compliance report information on our website.  If you need help accessing your AUSTRAC Online account, please call the Contact Centre on 1300 021 037. ",15 April 2021
27,Australia AUSTRAC,New guide and resources to help you detect and report crime,,"Your business plays a crucial role in identifying and reporting financial crime to protect Australia’s financial system and community from money laundering and other serious crimes.  To help you understand, detect and report financial crime, we recently launched a new type of guide called financial crime guides.  Financial crime guides provide your business with detailed information about the financial aspects of different crime types, and include case studies and indicators that you can use to identify and report if you identify this type of activity.  Read our latest financial crime guide:  Stopping the illegal trafficking of Australian wildlife New resources from our international partners  The Egmont Group, the international body of 166 Financial Intelligence Units recently published two new project reports providing red flags, indicators and practical information to help you optimise your AML/CTF systems and processes to better detect and report financial crime.  Download the resources:  Combatting online child sexual abuse and exploitation through financial intelligence - public bulletin Money laundering the proceeds of serious tax crimes - public bulletin ",16 April 2021
28,Australia AUSTRAC,Money laundering/terrorism financing risk assessment,,"Identifying and assessing the level of money laundering and terrorism financing (ML/TF) risk to your business or organisation is an important part of your AML/CTF program. It is the first thing you must do because it determines what measures you need to include in your program.  Assessing the ML/TF risk your business or organisation faces enables you to develop an AML/CTF program with appropriate measures to protect your business or organisation from being exploited by criminals.  Once you have identified the risks, you need to put in place controls to mitigate and manage these risks. See the risk management process section for more information on mitigating and managing risks.  Insights: Assessing ML/TF risk  Insights: Assessing ML/TF risk provides detailed information about AUSTRAC’s expectations for businesses when assessing and managing risks.  Download Insights: Assessing ML/TF risk (PDF, 439KB).  How to assess your ML/TF risk ",16 April 2021
